Character	Series
Blob	Avengers Annual (1967 - 1994)
Blob	Cable (1993 - 2002)
Blob	Daredevil (1963 - 1998)
Blob	Decimation: Generation M (2006)
Blob	Exiles (2001 - 2008)
Blob	Exiles Vol. 3: Out of Time (2003)
Blob	Generation M (2005 - 2006)
Blob	Marvel Masterworks: The Uncanny X-Men Vol. (2005)
Blob	Uncanny X-Men (1963 - 2011)
Blob	What If? (1989 - 1998)
Blob	X-51 (1999 - 2000)
Blob	X-Factor (1986 - 1998)
Blob	X-Factor Annual (1986 - Present)
Blob	X-Factor Visionaries: Peter David Vol. 3 (2007)
Blob	X-Force (1991 - 2004)
Blob	X-Men (1991 - 2001)
Blob	X-Men: Alpha (1994)
Blob	X-Men: Days of Future Past (2004)
Blob	X-Men: Dream's End (2004)
Blob	X-Men: Eve of Destruction (2005)
Mysterio	Amazing Spider-Man (1999 - 2013)
Mysterio	Amazing Spider-Man (1963 - 1998)
Mysterio	Bishop: The Last X-Man (1999 - 2001)
Mysterio	Daredevil (1998 - 2011)
Mysterio	Daredevil Visionaries: Kevin Smith (Daredevil Vol. I: Guardian Devil) (1999)
Mysterio	Friendly Neighborhood Spider-Man (2005 - 2007)
Mysterio	Friendly Neighborhood Spider-Man Vol. 2: Mystery Date (2007)
Mysterio	Iron Man (1998 - 2004)
Mysterio	Marvel Super-Heroes (1992 - 1993)
Mysterio	Peter Parker, the Spectacular Spider-Man (1976 - 1998)
Mysterio	Peter Parker: Spider-Man (1999 - 2003)
Mysterio	Spider-Man Visionaries: Roger Stern Vol. 1 (2007)
Mysterio	Spider-Man: Origin Of The Species TPB (2011)
Mysterio	Spider-Man: The Original Clone Saga (2010 - Present)
Mysterio	Startling Stories: The Megalomaniacal Spider-Man (2003)
Mysterio	Thor (1998 - 2004)
Mysterio	Webspinners: Tales of Spider-Man (1999 - 2000)
Mysterio	X-51 (1999 - 2000)
Mysterio	X-Men Vs. Apocalypse Vol. 2: Ages of Apocalypse (2008)
Gwen Stacy (Ultimate)	Ultimate Comics Spider-Man (2011 - Present)
Gwen Stacy (Ultimate)	Ultimate Fallout (2011)
Skaar	Incredible Hulk Vol. 3: World War Hulks (2011)
Skaar	Incredible Hulks (2009 - 2011)
Skaar	Incredible Hulks: Planet Savage TPB (2010 - Present)
Skaar	Skaar: King of the Savage Land (2011)
Abyss	Uncanny X-Men (1963 - 2011)
Abyss	X-Men: Alpha (1994)
Abyss	X-Men: The Complete Age of Apocalypse Epic Book 2 (2005)
Deathlok	Deathlok (2010 - Present)
Deathlok	Deathlok (2009 - 2010)
Deathlok	Marvel Comics Presents (1988 - 1995)
Deathlok	Marvel Comics Presents: Wolverine Vol. 4 (2006)
Deathlok	Marvel Fanfare (1982 - 1992)
Deathlok	Marvel Spotlight (1971 - 1977)
Deathlok	Marvel Two-in-One (1974 - 1983)
Deathlok	Nick Fury, Agent of Shield (1989 - 1992)
Deathlok	Paradise X (2002 - 2003)
Deathlok	Paradise X Vol. 2 (New Printing) (2007)
Deathlok	Uncanny X-Force (2010 - 2012)
Mr. Fixit	Incredible Hulk (1999 - 2008)
Solo (James Bourne)	Marvel Comics Presents (1988 - 1995)
Old Lace	Runaways (2008 - 2009)
Old Lace	Runaways (2003 - 2004)
Old Lace	Runaways (2005 - 2008)
Old Lace	Runaways Vol. 1: Pride & Joy (2004)
Old Lace	Runaways Vol. 6: Parental Guidance (2006)
Chronomancer	Bishop: The Last X-Man (1999 - 2001)
She-Hulk (Jennifer Walters)	Adam: Legend of the Blue Marvel (2008)
She-Hulk (Jennifer Walters)	Adam: Legend of the Blue Marvel (2008)
She-Hulk (Jennifer Walters)	All-New Savage She-Hulk (2009)
She-Hulk (Jennifer Walters)	Alpha Flight (1983 - 1994)
She-Hulk (Jennifer Walters)	Atlantis Attacks (2011)
She-Hulk (Jennifer Walters)	Atlantis Attacks (DM Only) (2011)
She-Hulk (Jennifer Walters)	Avengers (1963 - 1996)
She-Hulk (Jennifer Walters)	Avengers (1998 - 2004)
She-Hulk (Jennifer Walters)	Avengers Assemble (2004)
She-Hulk (Jennifer Walters)	Avengers Assemble Vol. 3 (2006)
She-Hulk (Jennifer Walters)	Avengers Assemble Vol. 4 (2007)
She-Hulk (Jennifer Walters)	Avengers Classic (2007 - 2008)
She-Hulk (Jennifer Walters)	Avengers Vol. 1: World Trust (2003)
She-Hulk (Jennifer Walters)	Avengers Vol. 2: Red Zone (2003)
She-Hulk (Jennifer Walters)	Avengers Vol. II: Red Zone (2003)
She-Hulk (Jennifer Walters)	Avengers: First to Last (2008 - Present)
She-Hulk (Jennifer Walters)	Avengers: First to Last Premiere (2008 - Present)
She-Hulk (Jennifer Walters)	Avengers: The Initiative (2007 - 2010)
She-Hulk (Jennifer Walters)	Avengers: The Kang Dynasty (2002)
She-Hulk (Jennifer Walters)	Best of the Fantastic Four Vol. 1 (2005)
Dragon Lord	Essential Ghost Rider Vol. 1 (2005)
Dragon Lord	Marvel Spotlight (1979 - 1981)
Beetle	Fantastic Four (1961 - 1998)
Beetle	Fantastic Four Visionaries: Walter Simonson Vol. 1 (2007)
Beetle	Iron Man (1998 - 2004)
Beetle	Iron Man (1968 - 1996)
Beetle	Iron Man: Armor Wars (2007)
Beetle	Marvel Two-in-One (1974 - 1983)
Beetle	Peter Parker, the Spectacular Spider-Man (1976 - 1998)
Beetle	Thunderbolts (1997 - 2003)
Beetle	Webspinners: Tales of Spider-Man (1999 - 2000)
Triathlon	Avengers (1998 - 2004)
Triathlon	Avengers Assemble (2004)
Triathlon	Avengers Assemble Vol. 2 (2005)
Triathlon	Avengers Assemble Vol. 3 (2006)
Triathlon	Avengers Assemble Vol. 4 (2007)
Triathlon	Avengers Assemble Vol. 5 (2007)
Triathlon	Avengers Vol. 1: World Trust (2003)
Triathlon	Avengers: The Kang Dynasty (2002)
High Evolutionary	Amazing Spider-Man Annual (1964 - Present)
High Evolutionary	Annihilation: Conquest (2007)
High Evolutionary	Avengers (1963 - 1996)
High Evolutionary	Avengers Annual (1967 - 1994)
High Evolutionary	Essential Spider-Woman Vol.1 (2005)
High Evolutionary	Fantastic Four Annual (1963 - 1994)
High Evolutionary	Iron Man/Thor (2010 - 2011)
High Evolutionary	Marvel Masterworks: The Incredible Hulk Vol.3 (2006)
High Evolutionary	Spider-Woman (1978 - 1983)
High Evolutionary	Tales to Astonish (1959 - 1968)
High Evolutionary	Thor (1966 - 1996)
High Evolutionary	Thor: Black Galaxy Saga TPB (2010 - Present)
High Evolutionary	West Coast Avengers Annual (1986 - 1988)
High Evolutionary	What If? (1989 - 1998)
High Evolutionary	X-Factor Annual (1986 - Present)
High Evolutionary	X-Men Annual (1970 - 1991)
High Evolutionary	X-Men Legends Vol. 3: Art Adams Book I (2003)
High Evolutionary	X-Men Legends Vol. III: Arthur Adams Book I (2003)
Cobalt Man	Uncanny X-Men (1963 - 2011)
Goliath (Bill Foster)	Avengers (1963 - 1996)
Goliath (Bill Foster)	Black Panther (2005 - 2008)
Goliath (Bill Foster)	Black Panther: The Bride (2006)
Goliath (Bill Foster)	Civil War (2006 - 2007)
Goliath (Bill Foster)	Civil War: Front Line (2006 - 2007)
Goliath (Bill Foster)	New Avengers Annual (2010 - Present)
Maria Hill	Age of Heroes (2011)
Maria Hill	Invincible Iron Man (2008 - 2012)
Maria Hill	Invincible Iron Man Vol. 1: The Five Nightmares (2009 - Present)
Maria Hill	Mighty Avengers (2007 - 2010)
Maria Hill	Mighty Avengers Vol. 1: The Ultron Initiative (2008)
Maria Hill	New Avengers (2004 - 2010)
Maria Hill	New Avengers Vol. 1: Breakout (2006)
Maria Hill	Secret Invasion: The Infiltration (2008)
Ben Urich	Alias (2003)
Ben Urich	Alias Omnibus (2006)
Ben Urich	Amazing Spider-Man (1999 - 2013)
Ben Urich	Amazing Spider-Man Annual (1964 - Present)
Ben Urich	Daredevil (1998 - 2011)
Ben Urich	Daredevil Vol. III: Wake Up (1999)
Ben Urich	Mighty Avengers (2007 - 2010)
Ben Urich	Mighty Avengers Vol. 1: The Ultron Initiative (2008)
Ben Urich	Venom: Lethal Protector (1993)
Doctor Spectrum	Avengers (1963 - 1996)
Doctor Spectrum	Doctor Spectrum (2004 - 2005)
Doctor Spectrum	Squadron Supreme (2006)
Doctor Spectrum	Squadron Supreme Vol. 1: The Pre-War Years Premiere (2006)
Doctor Spectrum	Supreme Power (2010 - 2011)
Killraven	Amazing Adventures (1970 - 1976)
Killraven	Killraven (2002 - 2003)
Killraven	Killraven Premiere (2007)
Killraven	Marvel Fanfare (1982 - 1992)
Nocturne	Exiles (2001 - 2008)
Nocturne	Exiles Vol. 3: Out of Time (2003)
Nocturne	Exiles Vol. II: A World Apart (1999)
Nocturne	New Excalibur (2005 - 2007)
Nocturne	New Excalibur Vol. 1: Defenders of the Realm (2006)
Nocturne	New Excalibur Vol. 2: Last Days of Camelot (2007)
Nocturne	New Excalibur Vol. 3: Battle for Eternity (2007)
Crusher Hogan (Ultimate)	Ultimate Spider-Man (2000 - 2009)
Crusher Hogan (Ultimate)	Ultimate Spider-Man Ultimate Collection Book 1 (2007)
Crusher Hogan (Ultimate)	Ultimate Spider-Man Vol. 1: Power & Responsibility (1999)
Bullseye	Alpha Flight (1983 - 1994)
Bullseye	Amazing Spider-Man (1999 - 2013)
Bullseye	Civil War (2006 - 2007)
Bullseye	Daredevil (1963 - 1998)
Bullseye	Daredevil (1998 - 2011)
Bullseye	Daredevil by Frank Miller & Klaus Janson (2007)
Bullseye	Daredevil Visionaries: Kevin Smith (Daredevil Vol. I: Guardian Devil) (1999)
Bullseye	Daredevil Vol. 7: Hardcore (2003)
Bullseye	Daredevil Vol. II: Parts of a Hole (1999)
Bullseye	Daredevil Vs. Bullseye Vol. 1 (2004)
Bullseye	Deadpool (1997 - 2002)
Bullseye	Deadpool Classic Vol. 5 (2010 - Present)
Bullseye	Elektra (2001 - 2004)
Bullseye	Elektra: The Scorpio Key (1999)
Bullseye	Incredible Hercules (2008 - 2010)
Bullseye	Paradise X (2002 - 2003)
Bullseye	Paradise X Vol. 2 (New Printing) (2007)
Bullseye	Peter Parker: Spider-Man (1999 - 2003)
Bullseye	Punisher (1995 - 1996)
Bullseye	Punisher Vs. Bullseye (2005 - 2006)
Storm	Age of Apocalypse: The Chosen (1995)
Storm	Alpha Flight (1983 - 1994)
Storm	Astonishing X-Men (2004 - Present)
Storm	Avengers (1963 - 1996)
Storm	Avengers (1998 - 2004)
Storm	Avengers Assemble (2004)
Storm	Avengers VS X-Men (2012)
Storm	Avengers: Kang Time and Time Again (2005)
Storm	Black Panther (2005 - 2008)
Storm	Black Panther (1998 - 2003)
Storm	Black Panther: Civil War (2007)
Storm	Black Panther: The Bride (2006)
Storm	Black Panther: The Man Without Fear (2010 - 2011)
Storm	Black Widow & the Marvel Girls (2009 - 2010)
Storm	Cable (2008 - 2010)
Storm	Cable (1993 - 2002)
Storm	Cable & Deadpool (2004 - 2008)
Storm	Clandestine Classic Premiere (2008)
Storm	Classic X-Men (1986 - 1990)
Storm	Counter X Vol. 1 (2008)
M (Monet St. Croix)	X-Factor (2005 - Present)
M (Monet St. Croix)	X-Factor Vol. 3: Many Lives of Madrox (2007)
M (Monet St. Croix)	X-Factor: The Longest Night (2007)
Storm (Ultimate)	Ultimate Marvel Team-Up (2001 - 2002)
Storm (Ultimate)	Ultimate Marvel Team-Up Ultimate Collection (2006)
Storm (Ultimate)	Ultimate War (2003)
Storm (Ultimate)	Ultimate X-Men (2000 - 2009)
Storm (Ultimate)	Ultimate X-Men MGC (2011)
Storm (Ultimate)	Ultimate X-Men Ultimate Collection Book 1 (2006)
Storm (Ultimate)	Ultimate X-Men Ultimate Collection Book 2 (2007)
Storm (Ultimate)	Ultimate X-Men Vol. 12: Hard Lessons (2005)
Storm (Ultimate)	Ultimate X-Men Vol. 3: World Tour (2005)
Storm (Ultimate)	Ultimate X-Men Vol. 4: Hellfire & Brimstone (2003 - Present)
Storm (Ultimate)	Ultimate X-Men Vol. 5: Ultimate War (1999)
Storm (Ultimate)	Ultimate X-Men Vol. 6: Return of the King (2003)
Storm (Ultimate)	Ultimate X-Men Vol. I: The Tomorrow People (1999)
Storm (Ultimate)	Ultimate X-Men Vol. II: Return to Weapon X (1999)
Storm (Ultimate)	Ultimate X-Men Vol. III: World Tour (2002)
Storm (Ultimate)	Ultimate X-Men Vol. VI: Return of the King (2003)
Human Robot	Agents of Atlas (2009)
Human Robot	Agents of Atlas (2006 - 2007)
Human Robot	Agents of Atlas (2007)
Human Robot	Captain America (2004 - 2011)
Human Robot	Captain America: The Death of Captain America Vol. 1 (2008)
Human Robot	Captain America: The Death of Captain America Vol. 1 Premiere (2007)
Puck	Alpha Flight (1983 - 1994)
Puck	Alpha Flight (2011 - 2012)
Puck	Alpha Flight Classic Vol. 1 (2007)
Puck	Black Panther (1998 - 2003)
Puck	Earth X (1999)
Puck	Earth X (New (2006)
Puck	Marvel Comics Presents (1988 - 1995)
Puck	Paradise X (2002 - 2003)
Puck	Paradise X Vol. 1 (2007)
Puck	Paradise X Vol. 2 (New Printing) (2007)
Puck	Uncanny X-Men (1963 - 2011)
Puck	Wolverine (1988 - 2003)
Puck	X-Factor (1986 - 1998)
Puck	X-Men Unlimited (1993 - 1999)
Hitman	Amazing Spider-Man (1963 - 1998)
Echo	Daredevil (1998 - 2011)
Echo	Daredevil Vol. 8: Echo – Vision Quest (2004)
Echo	Daredevil Vol. II: Parts of a Hole (1999)
Echo	Daredevil Vol. III: Wake Up (1999)
Echo	Mighty Avengers (2007 - 2010)
Echo	Moon Knight (2010 - 2012)
Echo	New Avengers (2004 - 2010)
Echo	New Avengers Vol. 3: Secrets & Lies (2006)
Echo	New Avengers Vol.2: Sentry (2006)
Echo	Secret Invasion: The Infiltration (2008)
Amphibian (Earth-712)	Squadron Supreme (2006)
Amphibian (Earth-712)	Squadron Supreme Vol. 1: The Pre-War Years Premiere (2006)
PsyNapse	X-Factor (1986 - 1998)
PsyNapse	X-Men (1991 - 2001)
Agent Brand	Astonishing X-Men (2004 - Present)
Agent Brand	Heralds (2010 - Present)
Shape	Avengers (1998 - 2004)
Shape	Avengers Assemble (2004)
Shape	Squadron Supreme (2006)
Shape	Squadron Supreme Vol. 1: The Pre-War Years Premiere (2006)
Gravity	Age of Heroes (2011)
Gravity	Amazing Spider-Man (1999 - 2013)
Gravity	Avengers: The Initiative (2007 - 2010)
Gravity	Beyond! (2006)
Gravity	Beyond! (2007)
Gravity	Fear Itself: Youth in Revolt (2011)
Gravity	Gravity (2005)
Gravity	Gravity: Big-City Super Hero (2005)
Gravity	Onslaught Unleashed (2010 - 2011)
Gravity	X-MEN: GOD LOVES, MAN KILLS (2011 - Present)
Humbug	Heroes for Hire (2006 - 2007)
Humbug	Heroes for Hire Vol. 2: Ahead of the Curve (2007)
Gorilla Man	Agents of Atlas (2009)
Gorilla Man	Deadpool Team-Up Vol. 2: Special Relationship (2011)
Gorilla Man	Gorilla Man (2010)
Gorilla Man	Wolverine (2010 - 2012)
Micromax	Avengers (1998 - 2004)
Micromax	Avengers: The Kang Dynasty (2002)
Carlie Cooper	Amazing Spider-Man (1999 - 2013)
Carlie Cooper	Amazing Spider-Man Family (2008 - 2009)
Carlie Cooper	SPIDER-MAN: THE GAUNTLET VOL. 5 - LIZARD  (2011)
Dazzler	Alpha Flight (1983 - 1994)
Dazzler	Amazing Spider-Man (1963 - 1998)
Dazzler	Avengers (1963 - 1996)
Dazzler	Avengers: The Initiative (2007 - 2010)
Dazzler	Classic X-Men (1986 - 1990)
Dazzler	Dazzler (1981 - 1986)
Dazzler	Dazzler (2010)
Dazzler	Essential X-Men Vol. 2 (All-New Edition) (2011 - Present)
Dazzler	Marvel Fanfare (1982 - 1992)
Dazzler	Marvel Masterworks: The Uncanny X-Men Vol. (2005)
Dazzler	Marvel Masterworks: The Uncanny X-Men Vol. 6 (2008)
Dazzler	Marvel Masterworks: The Uncanny X-Men Vol. 6 (2008)
Dazzler	Marvel Team-Up (1972 - 1985)
Dazzler	New Excalibur (2005 - 2007)
Dazzler	New Excalibur Vol. 1: Defenders of the Realm (2006)
Dazzler	New Excalibur Vol. 2: Last Days of Camelot (2007)
Dazzler	New Mutants (1983 - 1991)
Dazzler	New Mutants Classic Vol. 6 (2010 - Present)
Dazzler	Paradise X (2002 - 2003)
Dazzler	Paradise X Vol. 1 (2007)
Triton	Avengers Academy (2010 - 2012)
Triton	Earth X (1999)
Triton	Earth X (New (2006)
Triton	Fantastic Four (1961 - 1998)
Triton	Fantastic Four (1998 - 2012)
Triton	Fantastic Four (1996 - 1997)
Triton	Fantastic Four/Inhumans (2007)
Triton	Heroes Reborn: Fantastic Four (2006)
Triton	Inhumans (2000)
Triton	Iron Man (1996 - 1998)
Triton	Marvel Comics Presents (1988 - 1995)
Triton	Sub-Mariner (1968 - 1974)
Triton	Super-Villain Team-Up (1975 - 1980)
Triton	X-Factor (1986 - 1998)
Triton	X-Factor Annual (1986 - Present)
Mojo	ACTS OF VENGEANCE CROSSOVERS OMNIBUS (2011)
Mojo	ACTS OF VENGEANCE CROSSOVERS OMNIBUS (DM Only) (2011)
Mojo	Astonishing Tales (2009)
Mojo	Excalibur Classic Vol. 2: Two-Edged Sword (2006)
Mojo	Excalibur: Mojo Mayhem (1989)
Mojo	Longshot (1985 - 1986)
Mojo	Marvel Comics Presents (1988 - 1995)
Mojo	New Mutants Classic Vol. 6 (2010 - Present)
Mojo	Uncanny X-Men (1963 - 2011)
Mojo	Wolverine (1988 - 2003)
Mojo	X-Factor Annual (1986 - Present)
Mojo	X-Force (1991 - 2004)
Mojo	X-Men (1991 - 2001)
Mojo	X-Men Annual (1970 - 1991)
Mojo	X-Men Legends Vol. 3: Art Adams Book I (2003)
Mojo	X-Men Legends Vol. III: Arthur Adams Book I (2003)
Mojo	X-Men Unlimited (1993 - 1999)
Mojo	X-Men Visionaries: Jim Lee (2002)
Mojo	X-Men: Longshot Premiere (2008 - Present)
Mojo	X-Men: Mutant Genesis (2006)
Sabretooth (Ultimate)	Ultimate Comics X (2010 - 2011)
Sabretooth (Ultimate)	Ultimate X-Men (2000 - 2009)
Sabretooth (Ultimate)	Ultimate X-Men Ultimate Collection Book 1 (2006)
Sabretooth (Ultimate)	Ultimate X-Men Vol. 6: Return of the King (2003)
Sabretooth (Ultimate)	Ultimate X-Men Vol. II: Return to Weapon X (1999)
Sabretooth (Ultimate)	Ultimate X-Men Vol. VI: Return of the King (2003)
Sabretooth (Ultimate)	Ultimates 3 (2007 - 2008)
Sabretooth (Ultimate)	Ultimates 3: Who Killed the Scarlet Witch? (2009 - Present)
Spider-Woman (Mattie Franklin)	Amazing Spider-Man (1999 - 2013)
Spider-Woman (Mattie Franklin)	The Loners (2007 - 2008)
Debrii	New Warriors (2005)
Debrii	New Warriors: Reality Check (2006)
Lilith	Giant-Size Chillers (1974)
Lilith	Marvel Preview (1977 - 1981)
Lilith	Tomb of Dracula Omnibus Vol. 1 (2008 - Present)
Lilith	Tomb of Dracula Omnibus Vol. 1 (2008 - Present)
Lilith	Vampire Tales (1973 - 1975)
Lockheed	Astonishing X-Men (2004 - Present)
Lockheed	Astonishing X-Men by Joss Whedon & John Cassaday (2009 - Present)
Lockheed	Astonishing X-Men Vol. 1 (2006)
Lockheed	Astonishing X-Men Vol. 2: Dangerous (2005)
Lockheed	Avengers Vs. Pet Avengers (2010 - 2011)
Lockheed	Excalibur (1988 - 1998)
Lockheed	Excalibur Classic Vol. 5 (2008)
Lockheed	Secret Wars (1984 - 1985)
Lockheed	Secret Wars (2005)
Lockheed	Thor (1966 - 1996)
Lockheed	Uncanny X-Men (1963 - 2011)
Lockheed	Wolverine (1988 - 2003)
Lockheed	Wolverine by Claremont & Miller (2009 - Present)
Lockheed	Wolverine by Claremont & Miller (2006)
Lockheed	Wolverine Saga (2009)
Lockheed	Women of Marvel Vol. 2 (2007)
Lockheed	X-Men Annual (1970 - 1991)
Lockheed	X-Men Legends Vol. 3: Art Adams Book I (2003)
Lockheed	X-Men Legends Vol. III: Arthur Adams Book I (2003)
Lockheed	X-Men: The Complete Onslaught Epic Book 2 (2008)
Quasar (Phyla-Vell)	Annihilation: Conquest (2007)
Quasar (Phyla-Vell)	Annihilation: Conquest - Quasar (2007)
Quasar (Phyla-Vell)	Atlantis Attacks (2011)
Quasar (Phyla-Vell)	Atlantis Attacks (DM Only) (2011)
Quasar (Phyla-Vell)	Avengers Assemble Vol. 4 (2007)
Quasar (Phyla-Vell)	Avengers Forever (1998 - 2001)
Quasar (Phyla-Vell)	Avengers Legends Vol. I: Avengers Forever (2002)
Quasar (Phyla-Vell)	Avengers: Galactic Storm Vol. 2 (2006)
Quasar (Phyla-Vell)	Avengers: Galactic Storm Vol.1 (2006)
Quasar (Phyla-Vell)	Captain America (1968 - 1996)
Quasar (Phyla-Vell)	Fantastic Four (1998 - 2012)
Quasar (Phyla-Vell)	Fantastic Four (1961 - 1998)
Quasar (Phyla-Vell)	Infinity War (2005)
Quasar (Phyla-Vell)	Marvel Comics Presents (1988 - 1995)
Quasar (Phyla-Vell)	Marvel Masterworks: The Uncanny X-Men Vol. (2005)
Quasar (Phyla-Vell)	Marvel Two-in-One (1974 - 1983)
Quasar (Phyla-Vell)	Maximum Security (2000 - 2001)
Quasar (Phyla-Vell)	Paradise X (2002 - 2003)
Quasar (Phyla-Vell)	Paradise X Vol. 2 (New Printing) (2007)
Quasar (Phyla-Vell)	Peter Parker, the Spectacular Spider-Man (1976 - 1998)
Elektra	Black Widow (2010)
Elektra	Daredevil (1963 - 1998)
Elektra	Daredevil (1998 - 2011)
Elektra	Daredevil by Frank Miller & Klaus Janson (2007)
Elektra	Daredevil Visionaries: Kevin Smith (Daredevil Vol. I: Guardian Devil) (1999)
Elektra	Daredevil Vol. 4: Underboss (2004)
Elektra	Daredevil Vol. III: Wake Up (1999)
Elektra	Daredevil Vol. IV: Underboss (2002)
Elektra	Daredevil Vol. V: Out (2005)
Elektra	Daredevil: The Man Without Fear (1993)
Elektra	Elektra (2001 - 2004)
Elektra	Elektra (2014 - Present)
Elektra	Elektra Vol. 2: Everything Old Is New Again (2003)
Elektra	Elektra Vol. 4: Frenzy (2004)
Elektra	Elektra Vol. I: Introspect (2002)
Elektra	Elektra Vol. III: Relentless (2004)
Elektra	Elektra: The Scorpio Key (1999)
Elektra	Herc (2010 - 2011)
Elektra	Heroes for Hire (2010 - 2011)
Elektra	Incredible Hulks (2009 - 2011)
Skrulls	Avengers: The Initiative (2007 - 2010)
Skrulls	Black Panther (2005 - 2008)
Skrulls	Captain America (1998 - 2002)
Skrulls	Exiles (2001 - 2008)
Skrulls	Exiles Vol. II: A World Apart (1999)
Skrulls	Fantastic Four (1961 - 1998)
Skrulls	Fantastic Four Annual (1963 - 1994)
Skrulls	Fantastic Four Omnibus Vol. 1 (2007)
Skrulls	Fantastic Four Visionaries: John Byrne Vol. 7 (2007)
Skrulls	Marvel Masterworks: The Uncanny X-Men Vol. (2005)
Skrulls	Mighty Avengers (2007 - 2010)
Skrulls	Secret Warriors (2008 - 2011)
Skrulls	Uncanny X-Men (1963 - 2011)
Skrulls	What If? (1989 - 1998)
Skrulls	Wolverine (1988 - 2003)
Skrulls	X-Men (1991 - 2001)
Skrulls	X-Men Vs. Apocalypse Vol. 1: The Twelve (2008)
Skrulls	X-Men: The Dark Phoenix Saga (New Printing) (2006)
Wolverine (Ultimate)	Ultimate Comics X-Men (2010 - Present)
Wolverine (Ultimate)	Ultimate Spider-Man (2000 - 2009)
Wolverine (Ultimate)	Ultimate Spider-Man Vol. 12: Superstars (2005)
Wolverine (Ultimate)	Ultimate Wolverine Vs. Hulk (2005 - 2009)
Wolverine (Ultimate)	Ultimate X-Men (2000 - 2009)
Wolverine (Ultimate)	Ultimate X-Men MGC (2011)
Wolverine (Ultimate)	Ultimate X-Men Ultimate Collection Book 1 (2006)
Wolverine (Ultimate)	Ultimate X-Men Ultimate Collection Book 2 (2007)
Wolverine (Ultimate)	Ultimate X-Men Vol. 12: Hard Lessons (2005)
Wolverine (Ultimate)	Ultimate X-Men Vol. 16: Cable (2007)
Wolverine (Ultimate)	Ultimate X-Men Vol. 3: World Tour (2005)
Wolverine (Ultimate)	Ultimate X-Men Vol. 4: Hellfire & Brimstone (2003 - Present)
Wolverine (Ultimate)	Ultimate X-Men Vol. I: The Tomorrow People (1999)
Wolverine (Ultimate)	Ultimate X-Men Vol. II: Return to Weapon X (1999)
Wolverine (Ultimate)	Ultimate X-Men Vol. III: World Tour (2002)
Wolverine (Ultimate)	Ultimates 3 (2007 - 2008)
Wolverine (Ultimate)	Ultimates 3: Who Killed the Scarlet Witch? (2009 - Present)
Mastermind	Amazing Adventures (1970 - 1976)
Mastermind	Earth X (1999)
Mastermind	Earth X (New (2006)
Mastermind	Marvel Masterworks: The Uncanny X-Men Vol. (2005)
Mastermind	Marvel Masterworks: The X-Men Vol. 1 (2003)
Mastermind	Marvel Masterworks: The X-Men Vol. 7 (2008)
Mastermind	Marvel Masterworks: The X-Men Vol. 7 (2008)
Mastermind	New Avengers (2004 - 2010)
Mastermind	New Avengers Vol. 2: Sentry (2006)
Mastermind	New Avengers Vol.2: Sentry (2006)
Mastermind	Uncanny X-Men (1963 - 2011)
Mastermind	Uncanny X-Men Omnibus Vol. 1 (2006)
Mastermind	Wolverine (1988 - 2003)
Mastermind	Wolverine by Claremont & Miller (2009 - Present)
Mastermind	Wolverine by Claremont & Miller (2006)
Mastermind	X-Factor (1986 - 1998)
Mastermind	X-Men (2010 - 2013)
Mastermind	X-Men (1991 - 2001)
Mastermind	X-Men Origins II (2011)
Mastermind	X-Men Unlimited (1993 - 1999)
Shang-Chi	Amazing Spider-Man (1999 - 2013)
Shang-Chi	Fear Itself (2010 - 2011)
Shang-Chi	Fear Itself: The Fearless (2011 - 2012)
Shang-Chi	Heroes for Hire (2006 - 2007)
Shang-Chi	Heroes for Hire Vol. 2: Ahead of the Curve (2007)
Shang-Chi	Journey Into Mystery (1996 - 1998)
Shang-Chi	Secret Avengers (2010 - 2012)
Shang-Chi	SPIDER-ISLAND: DEADLY HANDS OF KUNG FU (2011)
Shang-Chi	X-Men (1991 - 2001)
Silver Samurai (Age of Apocalypse)	Official Handbook of the Marvel Universe (2004)
Silver Samurai (Age of Apocalypse)	Uncanny X-Force (2010 - 2012)
Man-Thing	Daredevil (1963 - 1998)
Man-Thing	Doctor Strange, Sorcerer Supreme (1988 - 1996)
Man-Thing	Fear Itself: Fearsome Four (2011)
Man-Thing	Howard the Duck (2008)
Man-Thing	Howard the Duck (1979 - 1981)
Man-Thing	Howard the Duck (1976 - 1979)
Man-Thing	Howard the Duck Omnibus (2008)
Man-Thing	Incredible Hulk (1962 - 1999)
Man-Thing	Man-Thing (2004)
Man-Thing	Marvel Comics Presents (1988 - 1995)
Man-Thing	Marvel Comics Presents: Wolverine  Vol. 1 (2005)
Man-Thing	Marvel Fanfare (1982 - 1992)
Man-Thing	Marvel Masterworks: The Uncanny X-Men Vol. 6 (2008)
Man-Thing	Marvel Masterworks: The Uncanny X-Men Vol. 6 (2008)
Man-Thing	Marvel Preview (1977 - 1981)
Man-Thing	Marvel Two-in-One (1974 - 1983)
Man-Thing	Strange Tales (1998)
Man-Thing	Thunderbolts (2006 - 2012)
Man-Thing	Thunderbolts: Violent Rejection (2010 - Present)
Man-Thing	Uncanny X-Men (1963 - 2011)
Black Widow (Ultimate)	Ultimate Marvel Team-Up (2001 - 2002)
Black Widow (Ultimate)	Ultimate Marvel Team-Up Ultimate Collection (2006)
Black Widow (Ultimate)	Ultimate War (2003)
Black Widow (Ultimate)	Ultimate X-Men (2000 - 2009)
Black Widow (Ultimate)	Ultimate X-Men Vol. 13: Magnetic North (2006)
